name,phone,birth,region,group,memo
안현민,010-6175-5797,2003-11-04,울산,회사,동해물산
오재아,010-9501-9831,1998-12-07,경북,대학,심리학
황채민,010-9332-5310,1973-08-09,충남,회사,대성전자
박준준,010-2902-5301,1997-01-29,전남,일반,
황하윤,010-5225-1025,1984-05-08,서울,대학,데이터사이언스
권시민,010-8979-5302,1964-12-27,울산,대학,국문학
서유재,010-9859-8201,1992-03-31,전북,회사,새롬테크
황우빈,010-1658-3895,1965-12-21,대구,대학,간호학
김지희,010-2168-1922,2005-04-07,충북,대학,심리학
오민혁,010-1056-7289,2002-09-30,전북,대학,심리학
박민연,010-8159-2216,2004-06-13,충북,일반,
강서현,010-6566-5565,1987-01-31,대전,대학,인공지능학
서현우,010-7461-4583,1991-01-06,경기,회사,코리아클라우드
임민영,010-3617-2871,1981-12-18,서울,회사,그린네트웍스
안민서,010-1427-0364,1979-09-02,울산,대학,심리학
류서수,010-9368-7800,1975-10-12,충남,회사,스마트솔루션
홍길동,010-8888-3434,1888-10-17,부산,일반,
오우영,010-1119-7993,1971-07-10,대구,회사,에이스로직
서승준,010-8542-8329,1987-11-04,인천,회사,그린네트웍스
황수호,010-4635-3888,1970-09-12,전남,대학,컴퓨터공학
장다빈,010-3999-7501,1998-03-05,부산,대학,기계공학
강태아,010-1592-8735,1962-10-12,경남,회사,새롬테크
안서현,010-4461-1263,1966-03-08,세종,일반,
오수현,010-9100-1383,1983-11-30,울산,일반,
송도준,010-1547-9899,1995-08-21,경북,대학,교육학
한지수,010-7730-3422,1963-09-07,울산,회사,그린네트웍스
안지혁,010-3276-6093,1987-10-06,충남,회사,우리바이오
최승림,010-9474-0611,2000-05-21,전북,대학,건축학
오다아,010-6032-0061,1963-10-04,강원,대학,사회복지학
임하아,010-8654-4629,1974-11-08,경기,일반,
장재서,010-9652-3458,1999-10-13,강원,회사,비전컴퍼니
전현준,010-6130-3499,2001-04-09,울산,대학,심리학
안시림,010-5061-0632,1961-12-29,경기,대학,기계공학
조진준,010-6489-3077,1970-09-04,광주,대학,심리학
신은현,010-2821-9242,1996-04-09,충남,대학,경영학
윤우림,010-4205-3149,1970-11-07,대전,일반,
정진은,010-9517-0140,1989-07-12,대전,대학,경영학
권수은,010-7034-2336,1961-02-04,충북,일반,
윤진우,010-6200-3186,1969-08-29,서울,일반,
강서영,010-1832-0190,1998-03-29,경기,일반,
권은윤,010-6891-2480,2002-03-16,대구,대학,영문학
서은림,010-7140-7247,1996-12-06,울산,대학,경영학
윤태현,010-5634-0534,1983-05-06,경북,대학,심리학
장준원,010-6742-9421,1995-02-03,전북,일반,
최재희,010-3106-9410,2003-01-31,대전,대학,영문학
안현진,010-8349-4632,1985-01-05,인천,회사,넥스트시스템
박민민,010-2480-3020,1993-11-23,울산,회사,한강미디어
최현빈,010-9419-8452,1972-12-19,강원,대학,사회복지학
정도우,010-1188-0686,1997-07-07,광주,대학,기계공학
임유림,010-4642-6226,1979-11-07,경기,회사,넥스트시스템
전승혁,010-2004-8332,1990-05-03,전남,대학,국문학
권준우,010-8626-9002,1978-08-05,인천,대학,인공지능학
류시혁,010-4174-5590,2002-12-03,광주,대학,사회복지학
김민빈,010-6242-9828,1999-03-24,충북,일반,
김유신,010-2323-6666,1999-03-01,대구,회사,한국IT
정재혁,010-8655-2337,1981-03-20,경기,회사,비전컴퍼니
안성현,010-8299-5574,1966-02-11,경남,대학,정보보안학
신시현,010-6313-6350,1962-06-28,전남,회사,중앙교육
한우원,010-5489-1196,2004-03-03,제주,대학,컴퓨터공학
신민서,010-3308-7915,1987-11-06,부산,대학,디자인학
안시빈,010-1605-6738,1974-04-12,인천,대학,데이터사이언스
강채준,010-5178-1638,1986-03-22,경북,회사,에이스로직
박다빈,010-5155-6822,1989-10-24,광주,일반,
한유현,010-2215-5001,1960-06-07,광주,대학,사회복지학
서도민,010-5583-1877,1998-09-09,전남,대학,디자인학
최준준,010-8774-2396,1979-03-22,경남,회사,한강미디어
황성희,010-3063-0782,2003-10-18,전남,대학,교육학
강준림,010-9370-4786,2004-08-18,대구,대학,영문학
안시준,010-5089-9266,1998-09-19,울산,일반,
서시윤,010-7101-4478,1970-06-10,제주,회사,스마트솔루션
윤시아,010-7785-4501,1967-05-19,인천,일반,
이현진,010-4054-5202,1962-11-04,대전,대학,소프트웨어학
한성재,010-5180-9368,1985-11-06,강원,일반,
송성서,010-5744-6129,1987-05-15,서울,회사,비전컴퍼니
전은영,010-1987-6417,1987-01-01,충남,대학,심리학
전서아,010-8411-0657,2001-01-08,경기,대학,소프트웨어학
임성림,010-5160-0348,2003-09-22,전남,회사,에이스로직
권태경,010-2022-7235,2005-07-29,인천,일반,
최우연,010-8812-0067,1985-05-02,대구,대학,전자공학
최하림,010-4610-6991,2003-08-07,부산,일반,
윤준경,010-8577-1098,1992-09-13,서울,대학,컴퓨터공학
유관순,010-0007-1234,1935-12-12,서울,일반,
안성윤,010-9353-8024,1972-04-26,경기,일반,
장승호,010-5562-6134,1973-12-25,경기,대학,간호학
권수원,010-9389-8803,1992-04-20,대구,대학,경영학
정하은,010-4178-0066,1992-12-05,울산,대학,경영학
최현호,010-3254-6444,1987-09-22,제주,대학,사회복지학
조우경,010-5240-2273,1998-12-03,경기,일반,
임채우,010-7966-6684,1989-02-08,경북,일반,
임진윤,010-4492-4600,1972-04-18,전남,회사,푸른에너지
박진호,010-9612-4341,1998-01-18,대구,일반,
강우현,010-2315-0914,1985-08-16,제주,일반,
윤준준,010-5117-1848,1987-06-24,경기,대학,경영학
오도혁,010-4903-1160,1991-07-26,제주,대학,정보보안학
한유준,010-4885-4658,1973-03-23,충남,대학,디자인학
안시혁,010-2458-2144,1993-01-11,전북,회사,한강미디어
안예재,010-2561-1636,1990-05-19,울산,일반,
장현영,010-6645-1331,2002-08-23,제주,대학,심리학
